802116206,245028339,13402222
811644415,264716850,12929399
806738019,264902496,21725173
830279782,246584293,12970969
805852441,243291761,21619949
817419057,245567927,13000283
819513298,259547596,12996503
808668802,264324861,21679871
809169764,242706586,12962332
824125523,271079916,13878736
821460792,242737953,13118711
805137976,243060669,12987167
793226871,249124887,13029297
798162569,246374048,14705125
814746682,271046989,13577836
792489921,242130485,13018378
815586065,262491618,12976503
822104552,248199049,22398552
821596254,250693780,13225536
799125096,262170836,13038371
822611015,238903186,12903774
812341314,245687638,21634145
1092457628,274621989,13004629
809208618,249026061,12878717
816610347,244079953,13083720
800556135,245433827,12987534
805710763,236146094,13024718
807917463,262407998,12986713
798791914,266038928,21867118
811596138,246371276,13084094
809653958,242230107,12955556
814691029,241868713,12985171
786635024,246504288,21754947
